Names;Regions
Abronius;Achaea
Abudius;Aegyptus
Aburius;Africa
Accius;Alpes
Accoleius;Arabia
Acerronius;Armenia
Acilius;Asia
Aconius;Assyria
Actorius;Baetica
Acutius;Belgica
Adginnius;Britannia
Aebutius;Caledonia
Aedinius;Cappadocia
Aelius;Caria
Aemilius;Cilicia
Aerelius;Corsica
Afinius;Sardinia
Afranius;Crete
Agnanius;Cyrenaica
Agorius;Cyprus
Albanius;Dacia
Albatius;Dalmatia
Albinius;Epirus
Albius;Galatia
Albinovanus;Germania
Albucius;Lusitania
Alburius;Tarraconensis
Alfenus;Illyricum
Alfius;Italia
Allectius;Judaea
Allienus;Lycia
Amafinius;Pamphylia
Amatius;Macedonia
Amblasius;Mauretania
Ambrosius;Mesopotamia
Ampius;Moesia
Amplas;Noricum
Ampudius;Numidia
Amusanus;Pannonia
Ancharius;Pisidia
Anicius;Pontus
Anisinus;Bithynia
Anisius;Raetia
Annaeus;Sicilia
Anneius;Syria
Annius;Thracia
Anquirinnius;
Antistius;
Antius;
Antonius;
Apisius;
Aponius;
Appianius;
Appius;
Appuleius;
Apronius;
Apustius;
Aquillius;
Aquinius;
Arellius;
Arennius;
Arminius;
Arpineius;
Arrecinus;
Arrius;
Arruntius;
Arsinius;
Articuleius;
Artorius;
Asconius;
Asellius;
Asinius;
Asvillius;
Ateius;
Aternius;
Ateronius;
Atius;
Atilius;
Atinius;
Atrius;
Attius;
Atzicius;
Auconius;
Auctorius;
Audasius;
Aufeius;
Aufidius;
Aulius;
Aurelius;
Aurius;
Aurunculeius;
Ausonius;
Autrodius;
Autronius;
Avianus;
Avidius;
Avienus;
Avilius;
Avius;
Axius;
Babrius;
Baebius;
Balonius;
Balventius;
Bantius;
Barbatius;
Barrius;
Barsius;
Bavius;
Bellicius;
Bellienus;
Bellius;
Betilienus;
Betitius;
Betucius;
Betuus;
Bicleius;
Blandius;
Blossius;
Boionius;
Bruttius;
Bucculeius;
Burbuleius;
Burrienus;
Butronius;
Caecilius;
Caecina;
Caecius;
Caedicius;
Caelius;
Caeparius;
Caepasius;
Caerellius;
Caesellius;
Caesennius;
